Mon Feb 13 17:17:20 2023    profile.txt

         44404943 function calls (43686407 primitive calls) in 132.573 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
105302/77300    0.301    0.000    1.030    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:612(_packed_nest_with_indices)
340020/339785    0.294    0.000    1.065    0.000 {built-in method builtins.any}
    17207    0.288    0.000    0.408    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:3046(_bind)
    21606    0.286    0.000   13.142    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:1197(convolution_internal)
   588754    0.271    0.000    1.509    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\traceback_utils.py:32(is_traceback_filtering_enabled)
    64818    0.264    0.000    0.760    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2688(_maybe_cast_inputs)
    21606    0.255    0.000    5.342    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:4846(max_pool)
   561060    0.254    0.000    0.306    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:198(__init__)
     7208    0.251    0.000    0.251    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
93652/7228    0.250    0.000   47.754    0.007 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\utils\traceback_utils.py:59(error_handler)
   277448    0.247    0.000    0.318    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:1125(dtype)
    14404    0.230    0.000    0.926    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\backend.py:5324(relu)
    28808    0.229    0.000    6.214    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:3510(bias_add)
182570/182554    0.227    0.000   11.065    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\profiler\trace.py:178(wrapped)
   190639    0.217    0.000    0.251    0.000 {built-in method _abc._abc_instancecheck}
223856/223838    0.216    0.000    2.742    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:917(<listcomp>)
  120/118    0.208    0.002    0.216    0.002 {built-in method _imp.create_dynamic}
1343462/1333458    0.204    0.000    0.208    0.000 {built-in method builtins.len}
    99200    0.193    0.000    0.537    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\registry.py:81(lookup)
   458912    0.188    0.000    0.693    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:913(<genexpr>)
103348/67312    0.184    0.000    0.652    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\trackable\autotrackable.py:58(__setattr__)
   129264    0.181    0.000    0.601    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:7008(__exit__)
    83324    0.173    0.000    0.233    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:229(__init__)
    78578    0.170    0.000    0.218    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\dtypes.py:719(as_dtype)
    79218    0.166    0.000    0.384    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2868(_get_input_masks)
   364122    0.163    0.000    0.202    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:261(_yield_sorted_items)
    35600    0.162    0.000    1.682    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\array_ops.py:659(shape_internal)
    27410    0.162    0.000    0.247    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     7200    0.160    0.000    2.722    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\array_ops.py:913(_slice_helper)
   342522    0.154    0.000    0.350    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:256(_yield_value)
     9600    0.154    0.000   24.434    0.003 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_grad.py:563(_Conv2DGrad)
    40402    0.152    0.000    2.392    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\gen_array_ops.py:10442(reshape)
   253478    0.151    0.000    2.873    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\nest.py:692(pack_sequence_as)
   102858    0.145    0.000    0.306    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\util\compat.py:89(as_text)
   172866    0.144    0.000    0.144    0.000 {method '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   106470    0.142    0.000    0.142    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\dtypes.py:63(_is_ref_dtype)
   103299    0.142    0.000    0.142    0.000 {built-in method _codecs.lookup}
  1008841    0.141    0.000    0.141    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:2119(context_safe)
   346570    0.139    0.000    0.188    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\tensor_shape.py:836(rank)
   132472    0.138    0.000    0.138    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:962(scope_name)
    14000    0.137    0.000    0.944    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\math_ops.py:937(cast)
    79200    0.135    0.000    0.300    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2557(_set_training_mode)
    79218    0.132    0.000    0.547    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:3639(_in_functional_construction_mode)
   108400    0.131    0.000    8.952    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:1494(convert_to_tensor_v2)
    69677    0.130    0.000   10.094    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\constant_op.py:271(_constant_impl)
79218/7218    0.128    0.000   46.375    0.006 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\utils\traceback_utils.py:92(error_handler)
    79218    0.127    0.000    0.926    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\utils\traceback_utils.py:77(inject_argument_info_in_traceback)
    64818    0.124    0.000    0.431    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:2719(_should_cast_single_input)
    79218    0.124    0.000    0.124    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\mixed_precision\autocast_variable.py:565(__init__)
     3701    0.124    0.000    0.124    0.000 {method 'read' of '_io.BufferedReader' objects}
    79201    0.120    0.000    1.041    0.000 C:\Users\mailv\miniconda3\lib\contextlib.py:482(enter_context)
    79200    0.119    0.000    1.293    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:3649(_convert_numpy_or_python_types)
    86424    0.117    0.000    0.148    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:216(_get_sequence)
    99200    0.116    0.000    0.116    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:104(__init__)
   158400    0.115    0.000    0.128    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer.py:1053(<genexpr>)
    79218    0.114    0.000    0.181    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\engine\base_layer_utils.py:501(enter)
6318/5914    0.114    0.000    0.740    0.000 {built-in method builtins.__build_class__}
    65237    0.113    0.000    0.117    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:434(__getattr__)
   751137    0.113    0.000    0.113    0.000 {method 'append' of 'list' objects}
    21606    0.109    0.000   13.503    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\layers\convolutional\base_conv.py:247(convolution_op)
   129246    0.104    0.000    0.363    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\framework\ops.py:6998(_restore_name_scope)
    17200    0.104    0.000    0.131    0.000 C:\Users\mailv\miniconda3\lib\inspect.py:2836(apply_defaults)
     7202    0.104    0.000    1.047    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\math_ops.py:3489(matmul)
        1    0.104    0.104    0.104    0.104 {built-in method _tkinter.create}
        1    0.103    0.103  132.595  132.595 main.py:1(<module>)
    78483    0.103    0.000    0.103    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\context.py:972(device_name)
    95264    0.102    0.000    0.102    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNamedtuple}
     3600    0.101    0.000    2.677    0.001 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\nn_ops.py:4278(sparse_softmax_cross_entropy_with_logits)
   118305    0.101    0.000    0.254    0.000 {built-in method builtins.all}
    21606    0.100    0.000    5.656    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\layers\pooling\base_pooling2d.py:77(call)
    10591    0.100    0.000    0.100    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    24131    0.098    0.000    0.098    0.000 {built-in method numpy.array}
     7202    0.097    0.000    2.440    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\keras\layers\core\dense.py:179(call)
   190639    0.097    0.000    0.348    0.000 C:\Users\mailv\miniconda3\lib\abc.py:117(__instancecheck__)
    22400    0.095    0.000    0.095    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
   222400    0.094    0.000    0.166    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\eager\backprop.py:97(<lambda>)
    40402    0.094    0.000    2.637    0.000 C:\Users\mailv\Documents\AIS\projects\svd_shard\svd_shard_venv\lib\site-packages\tensorflow\python\ops\array_ops.py:63(reshape)
   267327    0.092    0.000    0.092    0.000 {method 'startswith' of 'str' objects}
    79201    0.089    0.000    0.207    0.000 C:\Users\mailv\miniconda3\lib\contextlib.py:509(_push_cm_exit)
